Date,Title,Uri
2025-01-22,"""Midas turned everything he touched into gold. Data scientists turn everything into vectors."" #linklog p.migdal.pl/blog/2025/01...",at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lgcg5enbck2n
2025-01-29,This blog post has actually changed my mind about pie charts #linklog observablehq.com/blog/truth-a...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lgtpwpiccs26
2025-02-04,Graffiti removal isn’t the enemy of art. It’s part of a vibrant dialogue on life in the big city #linklog theconversation.com/graffiti-rem...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lhf5ceml7k2b
2025-02-10,This is a lovely way to remember homes lost in the LA fires  #linklog www.theguardian.com/artanddesign...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lhsctt25i22x
2025-02-12,Pakistan’s electric rickshaws are accelerating the country’s EV revolution #linklog restofworld.org/2025/sazgar-...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lhzdq6y4hc2i
2025-02-13,I missed this piece during the Oz open. Quite surprised that only 30-43% of top 40 junior tennis players then go on to crack the top 100 as adults #linklog www.abc.net.au/news/2025-01...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3li3iiddb6s2h
2025-02-16,"“We need to be able to get along, but part of that is having difficult conversations sometimes, and we don’t. We shouldn’t get along at the expense of pretending racism doesn’t exist, and that’s the key.” #linklog  www.theguardian.com/media/2025/f...",at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lid4denpos2i
2025-02-18,"This is great. ""even when we’re all staring at the same shade of red, we have no way of staring into one another’s heads to confirm that we’re processing it the same way"" #linklog The Eternal Mysteries of Red www.newyorker.com/magazine/202...",at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3ligrczvuec2k
2025-02-24,"""Underlying the episode is a misreading of the way art works: an assumption that art can and should be read literally. Art can have meaning, certainly, but that meaning is always shifting in the intimate exchange between a work and the person who experiences"" #linklog www.smh.com.au/politics/fed...",at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lixk6cszzc2i
2025-02-24,This is quite sad - Rice paddies to mega resorts: declassified spy satellite images reveal Bali’s transformation #linklog www.theguardian.com/world/2025/f...,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lixf4bzcr22h
