Date,img_path,0,1,2,3,4
2019-07-24,134ScribblingfromDublincastle--------3.jpg,#d3d2da,#caa7ac,#b9878a,#a26467,#8a4346
2019-07-27,132Sawaguywithpigtailsinhisbeardf.jpg,#e0ad7f,#d18d5b,#917b67,#a45a31,#7b3417
2019-07-29,131Warsawisdamnprettytbh------0.jpg,#e6cab0,#d5907b,#af6856,#884635,#1f120c
2019-07-30,129Beforeandafter--------b.jpg,#e3c6ae,#c9977c,#ae775c,#aa522f,#5d4438
2019-08-03,127KrakowKathedral--therearetoomanybuildingstodrawinthiscity------5.jpg,#c7cbce,#bdaca6,#ae8679,#976051,#3f404d
2019-08-04,126CouplemorefromKrakow--e.jpg,#a0bcc8,#62a6c5,#838e93,#308ab1,#4b575d
2019-08-07,123Toooooorists------8.jpg,#debdad,#cd917a,#9a7b6c,#af6247,#5c4238
2019-08-09,122AcoupleofdaysbytheVltavariverinPrague------c.jpg,#cdd1cf,#b1b4b1,#7ba0af,#4188a5,#4e3e32
2019-08-10,118TheOverlookHotelPraguepalace------5.jpg,#d9ccc7,#cda99e,#be8174,#a7584c,#1d1714
2019-08-11,117SomekindofministrybuildinginPrague--------7.jpg,#cac2b5,#8d9899,#397995,#655b57,#2f2925
2019-08-14,116DaybythecanalsinVienna------9.jpg,#d2c7c2,#bfa297,#938b88,#b17a67,#904e3e
2019-08-14,115Waitingfortheartgallerytoopen--------9.jpg,#c7c1b9,#98a5a8,#7c8483,#3c748e,#2e2925
2019-08-18,113MesittinginthesuninBratislava------c.jpg,#8db9cd,#5ea5c4,#6c9aae,#3994b9,#0e7eaf
2019-08-18,114LastonefromVienna-BelvederePalace------4.jpg,#d2c1a9,#c99e80,#c07a59,#8a7d6d,#a45b3c
2019-08-18,112BeersbytheriverinBratislava------5.jpg,#a8c1ce,#87abbc,#669bb2,#418aab,#1b6f98
2019-08-19,108AnotherviewoftheTempleofStNicholas-yup-------1.jpg,#b8d0ea,#a2b3ca,#7c9dba,#4682ad,#1b6095
2019-08-19,109TheclocktowerinBratislava------1.jpg,#dabfa4,#bbac96,#8c9591,#617c83,#3b626f
2019-08-19,110TFWyouforgettoleaveenoughroomonthepageforthesteepleofthechurch------1.jpg,#ced5da,#a7b1b8,#7e9db1,#4f83a3,#21648f
2019-08-19,111MorningfromBratislavaCastle--------1.jpg,#d8ddd4,#b8c8c7,#8abaca,#5ba3be,#2591bc
2019-08-24,107LovingthesetreesliningthestreetsinBudapest------0.jpg,#c9cece,#b4b4b3,#a29997,#8f7771,#835146
2019-08-24,106Boughtsomeorangecrayons--------4.jpg,#c9bcae,#baad9f,#ac9e91,#b5896f,#ac6d49
2019-08-26,105TryingsomenewcolourcombinationsinBudapest------1.jpg,#d6c8b5,#c9a582,#ab8462,#846549,#674d36
2019-08-29,102I-llsingyouasongasongofthesea--------1.jpg,#c6c4bf,#aeaca8,#9a9895,#83817f,#656461
2019-08-29,104--------1.jpg,#d5d6d8,#cbc7c0,#c2b4a4,#cca27c,#a49d95
2019-08-29,103BackinLondonforafewdays------1.jpg,#d5d4cc,#c3c2bb,#caab94,#c68a66,#869297
2019-09-03,101Scream------1.jpg,#c7c5c0,#b5b1ab,#9e9a95,#827f7a,#625e5a
